Iteration	expexted_value	risk	lambda
28	11907.045	1880.154	0.300
29	11222.539	1754.350	0.300
30	12415.324	1924.194	0.300
31	12695.752	2199.376	0.300
32	12695.725	2422.193	0.300
33	13402.099	2366.096	0.300
34	13236.173	2080.178	0.300
35	12764.444	2442.287	0.300
36	12790.672	2152.478	0.300
37	12790.672	2152.478	0.300
38	12790.672	2152.478	0.300
39	12790.672	2152.478	0.300
40	13552.142	2143.093	0.300
41	12934.824	2094.734	0.300
42	12934.824	2094.734	0.300
43	12934.824	2094.734	0.300
44	13693.977	2173.634	0.300
45	13924.854	2299.009	0.300
46	13795.450	2496.930	0.300
47	12767.022	2157.358	0.300
48	12767.022	2157.358	0.300
49	12767.022	2157.358	0.300
1	13123.280	2236.904	0.320
2	12342.486	1812.968	0.320
3	12671.210	1904.842	0.320
4	12782.735	2069.362	0.320
5	12882.051	1910.884	0.320
6	13536.222	2418.487	0.320
7	14002.653	2045.779	0.320
8	14289.337	2105.724	0.320
9	13418.158	2070.927	0.320
10	13388.569	2522.219	0.320
11	13388.569	2522.219	0.320
12	14084.902	2598.297	0.320
13	13560.004	1978.302	0.320
14	13560.004	1978.302	0.320
15	14003.497	1974.233	0.320
16	14003.497	1974.233	0.320
17	14003.497	1974.233	0.320
18	13692.032	2141.422	0.320
19	13752.253	2046.421	0.320
20	13421.648	2065.532	0.320
21	14646.669	1969.197	0.320
22	14055.884	2009.980	0.320
23	15502.521	2161.702	0.320
24	14328.921	2026.827	0.320
25	14328.921	2026.827	0.320
26	14328.921	2026.827	0.320
27	14328.921	2026.827	0.320
28	14328.921	2026.827	0.320
29	14328.921	2026.827	0.320
30	14328.921	2026.827	0.320
31	14328.921	2026.827	0.320
32	14328.921	2026.827	0.320
33	14328.921	2026.827	0.320
34	14328.921	2026.827	0.320
35	14328.921	2026.827	0.320
36	14328.921	2026.827	0.320
37	14328.921	2026.827	0.320
38	14328.921	2026.827	0.320
39	14328.921	2026.827	0.320
40	14328.921	2026.827	0.320
41	14328.921	2026.827	0.320
42	14328.921	2026.827	0.320
43	14328.921	2026.827	0.320
44	14328.921	2026.827	0.320
45	14328.921	2026.827	0.320
46	14328.921	2026.827	0.320
47	14328.921	2026.827	0.320
48	14328.921	2026.827	0.320
49	14328.921	2026.827	0.320
1	13943.485	2171.113	0.340
2	13113.892	1759.646	0.340
3	13463.160	1848.817	0.340
4	13581.656	2008.498	0.340
5	13687.179	1854.681	0.340
6	14382.236	2347.355	0.340
7	14877.819	1985.609	0.340
8	15182.420	2043.791	0.340
9	14256.793	2010.017	0.340
10	14225.354	2448.037	0.340
11	14225.354	2448.037	0.340
12	14965.209	2521.876	0.340
13	14407.504	1920.116	0.340
14	14407.504	1920.116	0.340
15	14878.716	1916.167	0.340
16	14878.716	1916.167	0.340
17	14878.716	1916.167	0.340
18	14547.784	2078.439	0.340
19	14611.769	1986.232	0.340
20	14260.501	2004.781	0.340
21	15562.086	1911.279	0.340
22	14934.376	1950.863	0.340
23	16471.428	2098.123	0.340
24	15224.479	1967.214	0.340
25	15224.479	1967.214	0.340
26	15224.479	1967.214	0.340
27	15224.479	1967.214	0.340
28	15224.479	1967.214	0.340
29	15224.479	1967.214	0.340
30	15224.479	1967.214	0.340
31	15224.479	1967.214	0.340
32	15224.479	1967.214	0.340
33	15224.479	1967.214	0.340
34	15224.479	1967.214	0.340
35	15224.479	1967.214	0.340
36	15224.479	1967.214	0.340
37	15224.479	1967.214	0.340
38	15224.479	1967.214	0.340
39	15224.479	1967.214	0.340
40	15224.479	1967.214	0.340
41	15224.479	1967.214	0.340
42	15224.479	1967.214	0.340
