Iteration	expexted_value	risk	lambda
55	3053.368	3901.595	0.070
56	3010.055	3719.788	0.070
57	3190.857	4831.112	0.070
58	3066.549	3886.297	0.070
59	3172.019	4712.025	0.070
60	3452.068	4188.472	0.070
61	3090.718	4295.501	0.070
62	3459.620	4792.629	0.070
63	2987.650	3557.465	0.070
64	3194.163	3739.519	0.070
65	3300.443	4988.397	0.070
66	3051.904	3647.374	0.070
67	3223.204	4666.297	0.070
68	3102.071	3488.908	0.070
69	3037.350	3446.442	0.070
70	3258.592	3558.084	0.070
71	3166.842	3735.181	0.070
72	3421.683	3953.144	0.070
73	3402.133	3865.859	0.070
74	3673.072	4066.614	0.070
75	3326.393	4664.964	0.070
76	3408.828	4313.624	0.070
77	3216.589	3806.818	0.070
78	3021.261	3484.127	0.070
79	2806.413	3316.199	0.070
80	2875.845	3196.520	0.070
81	2654.875	3074.968	0.070
82	2925.814	3291.845	0.070
83	3092.018	4484.098	0.070
84	3005.822	3560.889	0.070
85	2935.037	3582.581	0.070
86	2995.318	4000.236	0.070
87	3163.022	5176.449	0.070
88	3113.649	4093.997	0.070
89	3191.395	4551.994	0.070
90	3459.123	4923.143	0.070
91	3144.031	4831.383	0.070
92	3303.290	4459.515	0.070
93	3254.549	4058.280	0.070
94	3095.472	3325.569	0.070
95	2874.503	3264.762	0.070
96	3145.441	3600.410	0.070
97	3038.080	4240.455	0.070
98	3478.216	3971.326	0.070
99	3468.446	4534.451	0.070
1	4448.972	5266.333	0.080
2	4167.578	5427.929	0.080
3	4209.100	4711.511	0.080
4	4114.303	5076.700	0.080
5	4152.116	4368.391	0.080
6	4045.287	4866.231	0.080
7	4046.199	4756.528	0.080
8	4278.011	6306.966	0.080
9	4011.469	4740.166	0.080
10	3701.825	4325.163	0.080
11	3808.401	4464.135	0.080
12	4053.441	4813.417	0.080
13	3466.474	4504.633	0.080
14	3719.332	4318.214	0.080
15	3459.288	3562.387	0.080
16	3712.145	3668.244	0.080
17	3327.588	3332.485	0.080
18	3580.446	3454.616	0.080
19	3494.881	4255.450	0.080
20	3960.514	3965.480	0.080
21	3843.956	4789.120	0.080
22	4139.637	4093.620	0.080
23	3668.771	3761.017	0.080
24	3607.661	3616.581	0.080
25	3393.378	3594.370	0.080
26	3629.393	3812.832	0.080
27	3838.197	5003.715	0.080
28	3855.515	4796.935	0.080
29	3623.515	4795.743	0.080
30	3819.709	4420.318	0.080
31	3542.285	4157.912	0.080
32	4016.819	4086.721	0.080
33	4180.322	4628.528	0.080
34	4221.658	4567.471	0.080
35	4369.040	5118.608	0.080
36	4490.562	4502.804	0.080
37	4111.011	4881.395	0.080
38	4124.457	4118.149	0.080
39	3850.095	4058.246	0.080
40	3730.917	3727.692	0.080
41	3338.912	3255.155	0.080
42	3389.109	3123.074	0.080
43	3135.815	3004.776	0.080
44	3327.492	3137.634	0.080
45	3100.690	3098.124	0.080
46	3270.158	3169.324	0.080
47	3468.845	4377.319	0.080
48	3577.090	3906.200	0.080
49	3964.360	4375.015	0.080
50	3807.429	4403.212	0.080
51	4006.927	4494.423	0.080
52	3790.886	4440.687	0.080
53	3735.952	3819.689	0.080
54	3904.167	4176.758	0.080
55	3489.563	3859.642	0.080
56	3440.063	3679.790	0.080
57	3646.693	4779.165	0.080
58	3504.627	3844.509	0.080
59	3625.165	4661.358	0.080
60	3945.220	4143.434	0.080
61	3532.249	4249.313	0.080
62	3953.851	4741.095	0.080
63	3414.457	3519.212	0.080
64	3650.472	3699.309	0.080
65	3771.935	4934.758	0.080
66	3487.890	3608.155	0.080
67	3683.661	4616.121	0.080
68	3545.224	3451.393	0.080
69	3471.257	3409.384	0.080
70	3724.105	3519.825	0.080
71	3619.248	3695.018	0.080
72	3910.495	3910.637	0.080
73	3888.152	3824.290	0.080
74	4197.796	4022.887	0.080
75	3801.592	4614.803	0.080
76	3895.803	4267.241	0.080
77	3676.101	3765.885	0.080
78	3452.870	3446.663	0.080
79	3207.329	3280.541	0.080
80	3286.680	3162.149	0.080
81	3034.143	3041.904	0.080
82	3343.787	3256.449	0.080
83	3533.734	4435.882	0.080
84	3435.226	3522.600	0.080
85	3354.328	3544.059	0.080
86	3423.221	3957.223	0.080
87	3614.883	5120.788	0.080
88	3558.456	4049.976	0.080
89	3647.308	4503.048	0.080
90	3953.284	4870.206	0.080
91	3593.178	4779.433	0.080
92	3775.189	4411.563	0.080
93	3719.485	4014.642	0.080
